_id,type,properties.id,properties.atribuicao,properties.status,properties.validacao,properties.status_val,properties.obs,properties.area_km2,geometry.type,geometry.coordinates[0][0][0][0],geometry.coordinates[0][0][0][1],geometry.coordinates[0][0][1][0],geometry.coordinates[0][0][1][1],geometry.coordinates[0][0][2][0],geometry.coordinates[0][0][2][1],geometry.coordinates[0][0][3][0],geometry.coordinates[0][0][3][1],geometry.coordinates[0][0][4][0],geometry.coordinates[0][0][4][1],geometry.coordinates[0][0][5][0],geometry.coordinates[0][0][5][1],geometry.coordinates[0][0][6][0],geometry.coordinates[0][0][6][1],geometry.coordinates[0][0][7][0],geometry.coordinates[0][0][7][1],geometry.coordinates[0][0][8][0],geometry.coordinates[0][0][8][1],geometry.coordinates[0][0][9][0],geometry.coordinates[0][0][9][1],geometry.coordinates[0][0][10][0],geometry.coordinates[0][0][10][1],geometry.coordinates[0][0][11][0],geometry.coordinates[0][0][11][1],geometry.coordinates[0][0][12][0],geometry.coordinates[0][0][12][1],geometry.coordinates[0][0][13][0],geometry.coordinates[0][0][13][1],geometry.coordinates[0][0][14][0],geometry.coordinates[0][0][14][1],geometry.coordinates[0][0][15][0],geometry.coordinates[0][0][15][1],geometry.coordinates[0][0][16][0],geometry.coordinates[0][0][16][1],geometry.coordinates[0][0][17][0],geometry.coordinates[0][0][17][1],geometry.coordinates[0][0][18][0],geometry.coordinates[0][0][18][1],geometry.coordinates[0][0][19][0],geometry.coordinates[0][0][19][1],geometry.coordinates[0][0][20][0],geometry.coordinates[0][0][20][1],geometry.coordinates[1][0][0][0],geometry.coordinates[1][0][0][1],geometry.coordinates[1][0][1][0],geometry.coordinates[1][0][1][1],geometry.coordinates[1][0][2][0],geometry.coordinates[1][0][2][1],geometry.coordinates[1][0][3][0],geometry.coordinates[1][0][3][1],geometry.coordinates[1][0][4][0],geometry.coordinates[1][0][4][1],geometry.coordinates[1][0][5][0],geometry.coordinates[1][0][5][1],geometry.coordinates[1][0][6][0],geometry.coordinates[1][0][6][1],geometry.coordinates[1][0][7][0],geometry.coordinates[1][0][7][1],geometry.coordinates[1][0][8][0],geometry.coordinates[1][0][8][1],geometry.coordinates[1][0][9][0],geometry.coordinates[1][0][9][1],geometry.coordinates[1][0][10][0],geometry.coordinates[1][0][10][1],geometry.coordinates[1][0][11][0],geometry.coordinates[1][0][11][1],geometry.coordinates[0][0][21][0],geometry.coordinates[0][0][21][1],geometry.coordinates[0][0][22][0],geometry.coordinates[0][0][22][1],geometry.coordinates[0][0][23][0],geometry.coordinates[0][0][23][1],geometry.coordinates[0][0][24][0],geometry.coordinates[0][0][24][1],geometry.coordinates[0][0][25][0],geometry.coordinates[0][0][25][1],geometry.coordinates[0][0][26][0],geometry.coordinates[0][0][26][1],geometry.coordinates[0][0][27][0],geometry.coordinates[0][0][27][1],geometry.coordinates[0][0][28][0],geometry.coordinates[0][0][28][1],geometry.coordinates[0][0][29][0],geometry.coordinates[0][0][29][1],geometry.coordinates[1][0][12][0],geometry.coordinates[1][0][12][1],geometry.coordinates[1][0][13][0],geometry.coordinates[1][0][13][1],geometry.coordinates[1][0][14][0],geometry.coordinates[1][0][14][1],geometry.coordinates[1][0][15][0],geometry.coordinates[1][0][15][1],geometry.coordinates[1][0][16][0],geometry.coordinates[1][0][16][1],geometry.coordinates[1][0][17][0],geometry.coordinates[1][0][17][1],geometry.coordinates[1][0][18][0],geometry.coordinates[1][0][18][1],geometry.coordinates[1][0][19][0],geometry.coordinates[1][0][19][1],geometry.coordinates[1][0][20][0],geometry.coordinates[1][0][20][1],geometry.coordinates[1][0][21][0],geometry.coordinates[1][0][21][1],data_inicio,data_fim
65f8d5b0c60a8f925ce7a803,Feature,1904,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7497501.9862726405,506788.646550982,7497501.9862726405,506788.646550982,7497101.9862726405,506088.646550982,7497101.9862726405,506088.646550982,7497501.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2024,19/03/2024
65f8d5b0c60a8f925ce7a804,Feature,1905,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7497901.9862726405,506788.646550982,7497901.9862726405,506788.646550982,7497501.9862726405,506088.646550982,7497501.9862726405,506088.646550982,7497901.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2024,17/03/2024
65f8d5b0c60a8f925ce7a805,Feature,1906,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7498301.9862726405,506788.646550982,7498301.9862726405,506788.646550982,7497901.9862726405,506088.646550982,7497901.9862726405,506088.646550982,7498301.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/04/2024,08/04/2024
65f8d5b0c60a8f925ce7a806,Feature,1907,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7498701.9862726405,506788.646550982,7498701.9862726405,506788.646550982,7498301.9862726405,506088.646550982,7498301.9862726405,506088.646550982,7498701.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2024,16/03/2024
65f8d5b0c60a8f925ce7a807,Feature,1908,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7508701.9862726405,506788.646550982,7508701.9862726405,506788.646550982,7508301.9862726405,506088.646550982,7508301.9862726405,506088.646550982,7508701.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/03/2024,02/03/2024
65f8d5b0c60a8f925ce7a808,Feature,1909,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7509101.9862726405,506788.646550982,7509101.9862726405,506788.646550982,7508701.9862726405,506088.646550982,7508701.9862726405,506088.646550982,7509101.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/04/2024,06/04/2024
65f8d5b0c60a8f925ce7a809,Feature,1910,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7509501.9862726405,506788.646550982,7509501.9862726405,506788.646550982,7509101.9862726405,506088.646550982,7509101.9862726405,506088.646550982,7509501.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2024,19/03/2024
65f8d5b0c60a8f925ce7a80a,Feature,1911,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7509901.9862726405,506788.646550982,7509901.9862726405,506788.646550982,7509501.9862726405,506088.646550982,7509501.9862726405,506088.646550982,7509901.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/03/2024,09/03/2024
65f8d5b0c60a8f925ce7a80b,Feature,1912,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7507101.9862726405,506788.646550982,7507101.9862726405,506788.646550982,7506701.9862726405,506088.646550982,7506701.9862726405,506088.646550982,7507101.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/2024,14/04/2024
65f8d5b0c60a8f925ce7a80c,Feature,1913,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7507501.9862726405,506788.646550982,7507501.9862726405,506788.646550982,7507101.9862726405,506088.646550982,7507101.9862726405,506088.646550982,7507501.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/2024,10/04/2024
